,,,,,,
Location,General District Court,Position,juvenile domestic court (JDR),Position, Circuit Court  https://www.vacourts.gov/courts/circuit.html,Position
,Hon. Christopher M. Billias,,Hon. Correy R. Smith,Chief Judge,Hon. Joel R. Branscom,
,Hon. Robin J. Mayer,,Hon. Robert C. Hagan Jr.,,Hon. Paul A. Dryer,
,Hon. Rupen R. Shah,,Hon. Linda Schorsch Jones,,Hon. Anne M. Reed,
,,,Hon. Susan B. Read,,Hon. Christopher B. Russell,
,,,,,Hon. Edward K. Stein,
Culpeper ,Hon. Theresa W. Carter,Presiding Judge,Hon. Gilbert H. Berger,Presiding Judge,Hon. Dale B. Durrer,Presiding Judge
,Hon. Claiborne H. Stokes Jr.,Chief Judge,Hon. Frank W. Somerville,Presiding Judge,Hon. Timothy K. Sanner,Chief Judge
,Hon. Matthew J. Quatrara,,Hon. Deborah S. Tinsley,Chief Judge,Hon. David B. Franzen,
,Hon. Kenneth Andrew Sneathern,,Hon. David M Barredo,,Hon. Cheryl V. Higgins,
,,,Hon. Barbara G. Lowe,,Hon. Richard E. Moore,
,,,Hon. Ronald L. Morris,,Hon. Claude V. Worrell Jr.,
Cumberland ,Hon. Calvin S. Spencer Jr.,Chief Judge,Hon. Marvin H. Dunkum Jr.,"Presiding Judge, Chief Judge",Hon. Kimberley S. White,"Presiding Judge, Chief Judge"
,Hon. Jody H. Fariss,,Hon. Nora J. Miller,,Hon. Donald Carl Blessing,Presiding Judge
,Hon. Darrel W. Puckett,,Hon. Robert H. Morrison,,Hon. Stephen Anderson Nelson,
,,,,,Hon. James William Watson Jr.,
Danville,Hon. George A. Jones Jr.,Chief Judge,Hon. Dale M. Wiley,Presiding Judge,Hon. James J. Reynolds,"Presiding Judge, Chief Judge"
,Hon. Robert L Adams Jr.,,Hon. Brian H. Turpin,Chief Judge,Hon. Joseph W. Milam Jr.,Presiding Judge
,,,Hon. Deanna Perdue Stone,,Hon. Timothy W. Allen,
,,,,,Hon. Stacey W. Moreau,
Dickenson ,Hon. George Robert Brittain,Chief Judge,Hon. Laura F. Robinson,Chief Judge,Hon. Brian K. Patton,Chief Judge
,Hon. Henry A. Barringer,,Hon. Michael J. Bush,,Hon. Jack S. Hurley Jr.,
,,,Hon. Martha P. Ketro,,Hon. Patrick R. Johnson,
,,,,,Hon. Michael Lee Moore,
,,,,,Hon. Richard C. Patterson,
Dinwiddie ,Hon. Ray P. Lupold III,Chief Judge,Hon. Cheryl J. Wilson,Presiding Judge,Hon. Paul W. Cella,Chief Judge
,Hon. Kenneth A. Blalock,,Hon. Phillip T. DiStanislao,Chief Judge,Hon. Dennis M. Martin,
,Hon. Thomas Stark IV,,Hon. Theresa J. Royall,,Hon. Joseph M. Teefey Jr.,
Essex ,Hon. John S. Martin,"Presiding Judge, Chief Judge",Hon. William L. Lewis,Presiding Judge,Hon. Herbert M. Hewitt,Presiding Judge
,Hon. David B. Caddell Jr.,,Hon. Georgia K. Sutton,Chief Judge,Hon. Sarah L. Deneke,Chief Judge
,Hon. Hugh S. Campbell,,Hon. John E. Franklin,,Hon. William E. Glover,
,Hon. Richard T. McGrath,,Hon. Shannon O. Hoehl,,Hon. John Overton Harris,
,Hon. Angela M. O'Connor,,Hon. Julian W. Johnson,,Hon. Patricia Kelly,
,Hon. Robert Eric Reibach,,Hon. Marcel D. Jones,,Hon. Michael E. Levy,
,Hon. Jane M. Reynolds,,Hon. Andrea M. Stewart,,Hon. Roy Michael McKenney,
,,,Hon. Frank G Uvanni,,Hon. Ricardo Rigual,
,,,Hon. Joseph A. Vance IV,,Hon. James Bruce Strickland,
,,,,,Hon. Gordon F. Willis,
,,,,,Hon. Victoria A. B. Willis,
Fairfax ,Hon. Lisa A. Mayne,"Presiding Judge, Chief Judge",Hon. Thomas P. Sotelo,"Presiding Judge, Chief Judge",Hon. Penney S. Azcarate,"Presiding Judge, Chief Judge"
,Hon. Harry Michael Cantrell,Presiding Judge,Hon. Maha-Rebekah Ramos Abejuela,Presiding Judge,Hon. Randy I. Bellows,Presiding Judge
,Hon. Manuel A. Capsalis,Presiding Judge,Hon. Gayl Branum Carr,Presiding Judge,Hon. David Bernhard,Presiding Judge
,Hon. Michael Joseph Cassidy,Presiding Judge,Hon. Glenn L. Clayton II,Presiding Judge,Hon. Dontae L. Bugg,Presiding Judge
,Hon. Susan Friedlander Earman,Presiding Judge,Hon. Jonathan D. Frieden,Presiding Judge,Hon. Grace Burke Carroll,Presiding Judge
,Hon. Michael Joshua Lindner,Presiding Judge,Hon. Todd G. Petit,Presiding Judge,Hon. Michael F. Devine,Presiding Judge
,Hon. William J. Minor Jr.,Presiding Judge,Hon. Melissa S. Cardoce,,Hon. Richard E. Gardiner,Presiding Judge
,Hon. Gary H. Moliken,Presiding Judge,Hon. Melinda L. VanLowe,,Hon. Brett A. Kassabian,Presiding Judge
,Hon. Mitchell I. Mutnick,Presiding Judge,,,Hon. Thomas P. Mann,Presiding Judge
,Hon. Mark C. Simmons,Presiding Judge,,,Hon. David A. Oblon,Presiding Judge
,Hon. Tina L. Snee,Presiding Judge,,,Hon. Tania M.L. Saylor,Presiding Judge
,Hon. Susan J. Stoney,Presiding Judge,,,Hon. Stephen C. Shannon,Presiding Judge
,,,,,Hon. Robert J. Smith,Presiding Judge
,,,,,Hon. John M. Tran,Presiding Judge
Fauquier ,Hon. Deborah C. Welsh,Chief Judge,Hon. Melissa N. Cupp,Presiding Judge,Hon. Douglas L. Fleming Jr.,Chief Judge
,Hon. Jessica H. Foster,,Hon. Pamela L. Brooks,Chief Judge,Hon. James P. Fisher,
,Hon. Matthew Parke Snow,,Hon. Avelina S. Jacob,,Hon. Jeanette A. Irby,
,Hon. Lorrie Ann Sinclair Taylor,,,,Hon. James E. Plowman Jr.,
,,,,,Hon. Stephen E. Sincavage,
Floyd ,Hon. Randal J. Duncan,Presiding Judge,Hon. Bradley G Dalton,Presiding Judge,Hon. Kenneth M. Fleenor Jr.,Presiding Judge
,Hon. Gino W. Williams,Chief Judge,Hon. Stephanie Murray Shortt,Chief Judge,Hon. Bradley W. Finch,Chief Judge
,Hon. J. D. Bolt,,Hon. Howard Lee Chitwood,,Hon. Brett L. Geisler,
,Hon. Erin J. DeHart,,Hon. Monica D. Cox,,Hon. Hugh Lee Harrell,
,Hon. Gerald Eugene Mabe II,,Hon. Robert C. Viar Jr.,,Hon. Josiah T. Showalter Jr.,
,,,,,Hon. Robert M. D. Turk,
Fluvanna ,Hon. Claiborne H. Stokes Jr.,Chiel Judge,Hon. Deborah S. Tinsley,Chief Judge,Hon. Richard E. Moore,Presiding Judge
,Hon. Theresa W. Carter,,Hon. David M Barredo,,Hon. Timothy K. Sanner,Chief Judge
,Hon. Matthew J. Quatrara,,Hon. Gilbert H. Berger,,Hon. Dale B. Durrer,
,Hon. Kenneth Andrew Sneathern,,Hon. Barbara G. Lowe,,Hon. David B. Franzen,
,,,Hon. Ronald L. Morris,,Hon. Cheryl V. Higgins,
,,,Hon. Frank W. Somerville,,Hon. Claude V. Worrell Jr.,
Franklin ,Hon. George A. Jones Jr.,"Presiding Judge, Chief Judge",Hon. Brian H. Turpin,Chief Judge,Hon. James J. Reynolds,Chief Judge
,Hon. Robert L Adams Jr.,,Hon. Deanna Perdue Stone,,Hon. Timothy W. Allen,
,,,Hon. Dale M. Wiley,,Hon. Joseph W. Milam Jr.,
,,,,,Hon. Stacey W. Moreau,
Frederick ,Hon. John Stanley Hart Jr.,Chief Judge,Hon. Kimberly Marion Athey,Presiding Judge,Hon. William W. Eldridge IV,Presiding Judge
,Hon. Mary Louise Costello Daniel,,Hon. Elizabeth Kellas Burton,Presiding Judge,Hon. Alexander R. Iden,Presiding Judge
,Hon. W. Dale Houff,,Hon. Hugh David O'Donnell,Chief Judge,Hon. Brian M. Madden,Presiding Judge
,Hon. Amy B. Tisinger,,Hon. Anthony Wayne Bailey,,Hon. Clark Andrew Ritchie,
,,,Hon. Rachel E. Figura,,Hon. Bruce D. Albertson,
,,,Hon. Daryl L. Funk,,Hon. Kevin C. Black,
,,,Hon. Chad A. Logan,,Hon. William W. Sharp,
,,,,,Hon. Thomas J. Wilson IV,
Fredericksburg ,Hon. John S. Martin,Chief Judge,Hon. Joseph A. Vance IV,Presiding Judge,Hon. Gordon F. Willis,Presiding Judge
,Hon. David B. Caddell Jr.,,Hon. Georgia K. Sutton,Chief Judge,Hon. Sarah L. Deneke,Chief Judge
,Hon. Hugh S. Campbell,,Hon. John E. Franklin,,Hon. William E. Glover,
,Hon. Richard T. McGrath,,Hon. Shannon O. Hoehl,,Hon. John Overton Harris,
,Hon. Angela M. O'Connor,,Hon. Julian W. Johnson,,Hon. Herbert M. Hewitt,
,Hon. Robert Eric Reibach,,Hon. Marcel D. Jones,,Hon. Patricia Kelly,
,Hon. Jane M. Reynolds,,Hon. William L. Lewis,,Hon. Michael E. Levy,
,,,Hon. Andrea M. Stewart,,Hon. Roy Michael McKenney,
,,,Hon. Frank G Uvanni,,Hon. Ricardo Rigual,
,,,,,Hon. James Bruce Strickland,
,,,,,Hon. Victoria A. B. Willis,
Giles ,Hon. Gino W. Williams,"Presiding Judge, Chief Judge",Hon. Stephanie Murray Shortt,"Presiding Judge, Chief Judge",Hon. Bradley W. Finch,Chief Judge
,Hon. J. D. Bolt,,Hon. Howard Lee Chitwood,,Hon. Kenneth M. Fleenor Jr.,
,Hon. Erin J. DeHart,,Hon. Monica D. Cox,,Hon. Brett L. Geisler,
,Hon. Randal J. Duncan,,Hon. Bradley G Dalton,,Hon. Hugh Lee Harrell,
,Hon. Gerald Eugene Mabe II,,Hon. Robert C. Viar Jr.,,Hon. Josiah T. Showalter Jr.,
,,,,,Hon. Robert M. D. Turk,
Gloucester,Hon. Stephanie E. Merritt,Presiding Judge,Hon. Cressondra B. Conyers,"Presiding Judge, Chief Judge",Hon. Jeffrey W. Shaw,Presiding Judge
,Hon. Stephen Ashton Hudgins,Chief Judge,Hon. Wade A. Bowie,,Hon. Richard H. Rizk,Chief Judge
,Hon. Colleen K. Killilea,,Hon. Mara M. Matthews,,Hon. Benjamin Elliott Bondurant,
,,,Hon. Brian J. Smalls,,Hon. Holly B. Smith,
Goochland,Hon. Claiborne H. Stokes Jr.,Chief Judge,Hon. Deborah S. Tinsley,"Presiding Judge, Chief Judge",Hon. Timothy K. Sanner,"Presiding Judge, Chief Judge"
,Hon. Theresa W. Carter,,Hon. David M Barredo,,Hon. Dale B. Durrer,
,Hon. Matthew J. Quatrara,,Hon. Gilbert H. Berger,,Hon. David B. Franzen,
,Hon. Kenneth Andrew Sneathern,,Hon. Barbara G. Lowe,,Hon. Cheryl V. Higgins,
,,,Hon. Ronald L. Morris,,Hon. Richard E. Moore,
,,,Hon. Frank W. Somerville,,Hon. Claude V. Worrell Jr.,
Grayson ,Hon. J. D. Bolt,Presiding Judge,Hon. Monica D. Cox,Presiding Judge,Hon. Hugh Lee Harrell,Presiding Judge
